"id","regiao","media_declividade","praca_ou_parque","unidades_iluminacao","atividades_economicas","meio_fio","pavimentacao","caminhavel"
"15381673",2,"14.333333333333334",0,1,0,1,1,NULL
"15125161",2,"13.42",0,1,0,1,1,NULL
"14394090",2,"7.666666666666667",0,1,0,1,1,NULL
"15994218",2,"14.036666666666667",0,1,0,1,1,NULL
"16175472",2,"3.61",0,2,0,1,1,NULL
"16199826",2,"2.545",1,2,0,1,1,NULL
"14537875",2,"10.0975",0,1,0,1,1,NULL
"15943447",2,"5.155",0,5,0,1,1,NULL
"15912790",2,"4.456",0,3,0,1,1,NULL
"16074862",2,"4.26",0,3,0,1,1,NULL
"14387859",2,"15.55",0,1,0,1,1,NULL
"16762369",2,"5.785",0,3,0,1,1,NULL
"15318862",2,"0",1,2,0,0,0,NULL
"14900351",2,"8.09",0,1,0,1,1,NULL
"15019052",2,"5.31",0,2,0,1,1,NULL
"15193845",2,"0.39",1,3,0,1,1,NULL
"14912915",2,"9.88",0,1,0,1,1,NULL
"16524769",2,"4.75",0,1,0,1,1,NULL
"16243581",2,"1.43",0,1,0,1,1,NULL
"15100120",2,"4.82",0,1,0,1,1,NULL
"14938009",2,"5.05",0,1,0,1,1,NULL
"15062563",2,"0",1,2,0,0,0,NULL
"14931762",2,"5.05",0,1,0,1,1,NULL
"14737921",2,"8.28",0,1,0,1,1,NULL
"15231350",2,"0.39",1,1,0,1,1,NULL
"15106546",2,"9.302",0,1,0,1,1,NULL
"15119224",2,"11.63",0,4,0,1,1,NULL
"15331375",2,"0",1,1,0,0,0,NULL
"15269035",2,"9.004",0,2,0,1,1,NULL
"15206827",2,"1.505",0,2,0,1,1,NULL
"16887316",2,"1.78",1,6,0,1,1,NULL
"15275549",2,"1.695",0,4,0,1,1,NULL
"15300096",2,"0",1,1,0,0,0,NULL
"15281794",2,"2.8866666666666667",0,2,0,1,1,NULL
"15112990",2,"8.238",0,1,0,1,1,NULL
"14918847",2,"8.966666666666667",1,2,0,1,1,NULL
"14950463",2,"9.074285714285715",0,1,0,1,1,NULL
"14981762",2,"5.05",0,1,0,1,1,NULL
"16574854",2,"4.574285714285715",0,6,0,1,1,NULL
"15075202",2,"7.033333333333333",0,1,0,1,1,NULL
"14281554",2,"3.39",0,3,0,1,1,NULL
"16362330",2,"0.7933333333333333",0,1,0,1,1,NULL
"14269062",2,"3.39",0,3,0,1,1,NULL
"16687314",2,"8.0425",0,1,0,1,1,NULL
"16506151",2,"4.334",0,2,0,1,1,NULL
"14369078",2,"6.036666666666667",0,1,0,1,1,NULL
"14350334",2,"6.5975",0,2,0,1,1,NULL
"16230919",2,"5.27",0,1,0,1,1,NULL
"16493562",2,"0.865",1,6,0,1,1,1
"16131710",2,"3.61",0,4,0,1,1,NULL
"15881716",2,"6.72",0,1,0,1,1,NULL
"14644058",2,"5.70875",1,4,0,1,1,NULL
"16249727",2,"6.2",0,4,0,1,1,NULL
"16150462",2,"3.61",0,7,0,1,1,NULL
"15219086",2,"2.55",1,4,0,1,1,NULL
"16218555",2,"4.693333333333333",0,2,0,1,1,NULL
"15769044",2,"15.876666666666667",0,1,0,1,1,NULL
"15418844",2,"4.07",1,2,0,1,1,NULL
"15262727",2,"4.78",0,1,0,1,1,NULL
"15219317",2,"1.09",0,2,0,1,1,NULL
"14387741",2,"7.14",0,3,0,1,1,NULL
"14350330",2,"6.5975",0,1,0,1,1,NULL
"15237546",2,"1.35",1,1,0,1,1,NULL
"15188003",2,"5.858333333333333",0,1,0,1,1,NULL
"15300556",2,"0.775",0,2,0,1,1,NULL
"16881066",2,"1.78",1,5,0,1,1,NULL
"14981625",2,"0",0,1,0,1,1,NULL
"14800434",2,"8.28",0,1,0,1,1,NULL
"16368542",2,"0.96",0,7,0,1,1,NULL
"15156832",2,"3.07",0,2,0,1,1,NULL
"14881632",2,"12.08",0,1,0,1,1,NULL
"15187836",2,"2.55",1,1,0,1,1,NULL
"14369107",2,"15.55",0,1,0,1,1,NULL
"16099725",2,"6.035714285714286",0,1,0,1,1,NULL
"15737883",2,"3.61",0,2,0,1,1,NULL
"15187833",2,"2.55",1,3,0,1,1,NULL
"16293559",2,"1.66",0,2,0,1,1,NULL
"16349746",2,"3.04",0,2,0,1,1,NULL
"15318838",2,"0",1,2,0,0,0,NULL
"15644114",2,"4.835",0,2,0,1,1,NULL
"15656775",2,"4.21",0,2,0,1,1,NULL
"16812307",2,"2.46",1,6,0,1,1,NULL
"16256044",2,"3.83",0,2,0,1,1,NULL
"16225490",2,"3.61",0,2,0,1,1,NULL
"14256582",2,"14.575",0,1,0,1,1,NULL
"15650456",2,"8.796666666666667",0,2,0,1,1,NULL
"15194327",2,"1.09",0,2,0,1,1,NULL
"14994027",2,"8.193333333333333",0,1,0,1,1,NULL
"14319060",2,"3.39",0,1,0,1,1,NULL
"15181295",2,"0",1,2,0,0,0,NULL
"14594136",2,"9.363333333333333",0,2,0,1,1,NULL
"14525371",2,"8.28",0,1,0,1,1,NULL
"16274675",2,"5.27",0,1,0,1,1,NULL
"14931758",2,"7.105",0,1,0,1,1,NULL
"14287814",2,"3.39",0,1,0,1,1,NULL
"16512402",2,"4.334",0,2,0,1,1,NULL
"15531574",2,"7.99",0,2,0,1,1,NULL
"15481764",2,"3.895",0,2,0,1,1,NULL
"15775429",2,"10.33",0,1,0,1,1,NULL
"15531581",2,"4.49",0,2,0,1,1,NULL
"14181421",2,"3.168",1,5,0,1,1,NULL
"16025473",2,"14.036666666666667",0,2,0,1,1,NULL
"15944219",2,"6.72",0,1,0,1,1,NULL
"16237326",2,"2",1,5,0,1,1,NULL
"14550383",2,"8.28",0,1,0,1,1,NULL
"16237294",2,"2.48",0,4,0,1,1,NULL
"14619141",2,"9.363333333333333",0,1,0,1,1,NULL
"16487345",2,"3.115",0,5,0,1,1,NULL
"15488022",2,"3.895",0,2,0,1,1,NULL
"16318561",2,"2.54",0,5,0,1,1,NULL
"16299833",2,"1.43",0,3,0,1,1,NULL
"16862308",2,"2.46",1,3,0,1,1,NULL
"16099664",2,"14.885",0,3,0,1,1,NULL
"15662975",2,"5.956666666666667",0,1,0,1,1,NULL
"15362615",2,"0",1,1,0,0,0,NULL
"16043410",2,"6.8428571428571425",0,3,0,1,1,NULL
"15937962",2,"11.77",0,1,0,1,1,NULL
"15356369",2,"0",1,2,0,0,0,NULL
"15856712",2,"6.72",0,1,0,1,1,NULL
"16424856",2,"3.4233333333333333",0,2,0,1,1,NULL
"14531624",2,"10.0975",0,1,0,1,1,NULL
"16837348",2,"5.9625",0,4,0,1,1,NULL
"16362329",2,"0.7933333333333333",0,2,0,1,1,NULL
"14919100",2,"8.09",0,1,0,1,1,NULL
"15206812",2,"1.09",0,1,0,1,1,NULL
"15287583",2,"0",1,1,0,0,0,NULL
"15268975",2,"4.78",0,1,0,1,1,NULL
"15525323",2,"7.99",0,2,0,1,1,NULL
"15062569",2,"0",1,1,0,0,0,NULL
"15231768",2,"5.97",0,1,0,1,1,NULL
"15150038",2,"5.69",0,5,0,1,1,NULL
"15294202",2,"9.693333333333333",0,1,0,1,1,NULL
"15100161",2,"13.42",0,1,0,1,1,NULL
"15550343",2,"5.275",0,2,0,1,1,NULL
"16337306",2,"1.2866666666666666",0,6,0,1,1,NULL
"14375242",2,"7.14",0,2,0,1,1,NULL
"16231041",2,"2.48",0,4,0,1,1,NULL
"16406041",2,"1.3466666666666667",0,5,0,1,1,NULL
"15131411",2,"10.75",0,1,0,1,1,NULL
"15163083",2,"3.07",0,2,0,1,1,NULL
"15175515",2,"7.105",0,2,0,1,1,NULL
"15175587",2,"2.6866666666666665",0,3,0,1,1,NULL
"16462346",2,"1.89",0,1,0,1,1,NULL
"15656729",2,"5.956666666666667",0,2,0,1,1,NULL
"15725448",2,"6.72",0,1,0,1,1,NULL
"15100083",2,"0.51",1,2,0,1,1,NULL
"16037940",2,"3.61",0,2,0,1,1,NULL
"15687875",2,"3.61",0,2,0,1,1,NULL
"15712946",2,"6.72",0,1,0,1,1,NULL
"15794044",2,"6.2625",0,2,0,1,1,NULL
"15837960",2,"6.72",0,1,0,1,1,NULL
"15975469",2,"14.036666666666667",0,1,0,1,1,NULL
"15162928",2,"11.874",1,1,0,1,1,NULL
"16068514",2,"0.32",0,1,0,1,1,NULL
"15744200",2,"6.72",0,1,0,1,1,NULL
"15850462",2,"6.72",0,1,0,1,1,NULL
"15068805",2,"8.376666666666667",1,3,0,1,1,NULL
"14913019",2,"5.05",0,1,0,1,1,NULL
"14412854",2,"11.915",0,2,0,1,1,NULL
"16268534",2,"2.85",0,2,0,1,1,NULL
"14306530",2,"6.535",0,1,0,1,1,NULL
"14400335",2,"6.44",0,1,0,1,1,NULL
"16081731",2,"18.57",0,1,0,1,1,NULL
"16887314",2,"1.78",1,7,0,1,1,NULL
"15975428",2,"3.61",0,1,0,1,1,NULL
"16412365",2,"3.17",0,2,0,1,1,NULL
"14587815",2,"8.36",0,1,0,1,1,NULL
"16481111",2,"8.78",0,2,0,1,1,NULL
"15850286",2,"1.43",0,1,0,1,1,NULL
"16431097",2,"1.89",0,2,0,1,1,NULL
"15156339",2,"0.39",1,2,0,1,1,NULL
"14631649",2,"9.363333333333333",0,1,0,1,1,NULL
"14906705",2,"9.96",0,1,0,1,1,NULL
"16918574",2,"1.78",0,2,0,1,1,NULL
"15138020",2,"5.05",0,1,0,1,1,NULL
"15019300",2,"5.05",0,1,0,1,1,NULL
"16487346",2,"3.115",0,5,0,1,1,NULL
"14981580",2,"6.75",0,1,0,1,1,NULL
"15231585",2,"2.55",0,5,0,1,1,NULL
"15150426",2,"11.874",1,1,0,1,1,NULL
"16012935",2,"3.61",0,2,0,1,1,NULL
"15406773",2,"2.25",0,2,0,1,1,NULL
"16318571",2,"1.66",0,1,0,1,1,NULL
"16225493",2,"3.61",0,2,0,1,1,NULL
"14637894",2,"9.363333333333333",0,2,0,1,1,NULL
"16399833",2,"0.7933333333333333",0,6,0,1,1,NULL
"16074863",2,"4.26",0,3,0,1,1,NULL
"14681702",2,"7.84",0,1,0,1,1,NULL
